task_id,section_code,section_title,owner,priority,wave,can_parallel,depends_on,deliverable_path,definition_of_done,acceptance_check,blocking_risk,description,technical_reference,validation_commands,integration_validation,full_test_scope
ORDX-003,ORDX,订单与交易主链路迁移,AGENT,P0,W1,serial-first,ORDX-002; DBX-008,apps/platform-core/src/modules/order/repo/command/create_order.rs; freeze_price_snapshot.rs; cancel_order.rs; confirm_contract.rs,建单补冻结取消合同确认全部迁移到 SQLx transaction；审计与 outbox 保持同事务,建单补冻结取消合同确认全量测试通过且行为不漂移,这些是最核心事务入口语义偏移会污染所有链路,迁移第一批 order 命令仓储到 SQLx,plans/sqlx-seaorm-migration-implementation-plan.md:L522-L539 | plans/sqlx-seaorm-migration-implementation-plan.md:L605-L637 | docs/全集成文档/数据交易平台-全集成基线-V1.md:L1723,cargo test -p platform-core trade003_create_order_db_smoke -- --nocapture | cargo test -p platform-core trade005_order_cancel_db_smoke -- --nocapture | cargo test -p platform-core trade006_contract_confirm_db_smoke -- --nocapture | cargo test -p platform-core trade016_digital_contract_aggregate_db_smoke -- --nocapture,POST /api/v1/orders | POST /api/v1/trade/orders/{id}/price-snapshot/freeze | POST /api/v1/orders/{id}/cancel | POST /api/v1/orders/{id}/contract-confirm 并用 psql 回查 trade.order_main contract.digital_contract audit.audit_event ops.outbox_event,cargo test -p platform-core
ORDX-004,ORDX,订单与交易主链路迁移,AGENT,P0,W1,serial-first,ORDX-003,apps/platform-core/src/modules/order/repo/command/transition_*.rs; authorization_transition.rs; authorization_cutoff.rs; deliverability_gate.rs; pre_payment_lock.rs; apps/platform-core/src/modules/order/application/*,全部 SKU transition 授权迁移 自动断权 锁资前校验 可交付判定器 支付结果编排改为 SQLx 且并发语义保持一致,八个 SKU 状态机 授权 cutoff 锁资门禁 支付编排 交付门禁测试全部通过,主交易闭环命令路径任何并发语义退化都会造成严重回归,迁移第二批 order 命令仓储和支付编排到 SQLx,plans/sqlx-seaorm-migration-implementation-plan.md:L383-L413 | plans/sqlx-seaorm-migration-implementation-plan.md:L607-L616 | docs/01-architecture/order-orchestration.md,cargo test -p platform-core trade007_state_machine_fields_db_smoke -- --nocapture | cargo test -p platform-core trade008_file_std_state_machine_db_smoke -- --nocapture | cargo test -p platform-core trade009_file_sub_state_machine_db_smoke -- --nocapture | cargo test -p platform-core trade010_api_sub_state_machine_db_smoke -- --nocapture | cargo test -p platform-core trade011_api_ppu_state_machine_db_smoke -- --nocapture | cargo test -p platform-core trade012_share_ro_state_machine_db_smoke -- --nocapture | cargo test -p platform-core trade013_qry_lite_state_machine_db_smoke -- --nocapture | cargo test -p platform-core trade014_sbx_std_state_machine_db_smoke -- --nocapture | cargo test -p platform-core trade015_rpt_std_state_machine_db_smoke -- --nocapture | cargo test -p platform-core trade017_authorization_aggregate_db_smoke -- --nocapture | cargo test -p platform-core trade018_auto_cutoff_db_smoke -- --nocapture | cargo test -p platform-core trade021_pre_payment_lock_checks_db_smoke -- --nocapture | cargo test -p platform-core trade024_illegal_state_regression_db_smoke -- --nocapture | cargo test -p platform-core trade025_authorization_min_structure_db_smoke -- --nocapture | cargo test -p platform-core trade026_contract_signing_provider_db_smoke -- --nocapture | cargo test -p platform-core trade030_payment_result_orchestrator_db_smoke -- --nocapture | cargo test -p platform-core trade031_deliverability_gate_db_smoke -- --nocapture | cargo test -p platform-core trade032_scenario_sku_snapshot_db_smoke -- --nocapture,POST /api/v1/orders/{id}/file-std/transition | POST /api/v1/orders/{id}/share-ro/transition | POST /api/v1/orders/{id}/authorization/transition | POST /api/v1/orders/{id}/api-sub/transition | POST /api/v1/orders/{id}/api-ppu/transition | POST /api/v1/payments/webhooks/mock_payment 并用 psql 回查订单授权交付审计,cargo test -p platform-core
ORDX-005,ORDX,订单与交易主链路迁移,AGENT,P0,W1,serial-first,ORDX-001; DBX-006,apps/platform-core/src/modules/order/repo/query/order_detail.rs; lifecycle_snapshots.rs; relations.rs,订单详情 生命周期快照 关系装配器完成迁移且 DTO 完全不变,读接口字段与当前 OpenAPI 一致；relations 聚合保持一致,读模型如果让 entity 泄漏到 DTO 会导致接口层不稳定,迁移 order 查询仓储到 SeaORM 加 SQLx 组合,plans/sqlx-seaorm-migration-implementation-plan.md:L397-L413 | plans/sqlx-seaorm-migration-implementation-plan.md:L597-L603 | plans/sqlx-seaorm-migration-implementation-plan.md:L522-L539,cargo test -p platform-core trade004_order_detail_db_smoke -- --nocapture | cargo test -p platform-core trade019_lifecycle_snapshots_db_smoke -- --nocapture | cargo test -p platform-core trade022_order_relations_db_smoke -- --nocapture,GET /api/v1/orders/{id} | GET /api/v1/orders/{id}/lifecycle-snapshots 并用 psql 回查 trade.order_main contract.digital_contract trade.authorization_grant delivery.delivery_record,cargo test -p platform-core
ORDX-006,ORDX,订单与交易主链路迁移,AGENT,P0,W1,serial-first,ORDX-003; ORDX-004; ORDX-005; DBX-007,订单模块回归结果记录; 必要修复提交,订单链路从建单到合同锁资交付授权自动断权支付编排均在新栈下通过,order 模块不含 tokio-postgres 且主链路 API 联调全部通过,如果不做集中回归会留下局部命令和查询语义不一致的问题,执行订单模块全量回归,plans/sqlx-seaorm-migration-implementation-plan.md:L639-L685 | docs/05-test-cases/order-state-machine.md | docs/01-architecture/order-orchestration.md,cargo test -p platform-core trade027_main_trade_flow_db_smoke -- --nocapture | cargo test -p platform-core trade023_order_templates_db_smoke -- --nocapture | cargo test -p platform-core trade030_payment_result_orchestrator_db_smoke -- --nocapture | cargo test -p platform-core trade031_deliverability_gate_db_smoke -- --nocapture,POST /api/v1/orders -> POST /api/v1/orders/{id}/contract-confirm -> POST /api/v1/orders/{id}/file-std/transition 或 share-ro/transition -> POST /api/v1/orders/{id}/authorization/transition -> GET /api/v1/orders/{id} 并用 psql 回查,cargo test -p platform-core
BILX-001,BILX,支付与计费路径迁移,AGENT,P0,W2,serial-first,DBX-004; DBX-008,apps/platform-core/src/modules/billing/db.rs; apps/platform-core/src/modules/billing/handlers.rs; 必要的 apps/platform-core/src/modules/billing/repo/*,支付意图创建查询取消锁资和 webhook 处理全部使用 SQLx；旧 Row Client 引用移除,billing API 层与 helper 层不再引用 tokio-postgres,支付路径与订单路径迁移不一致会导致跨模块事务语义断裂,迁移 billing db helper 与 handlers 到 SQLx,plans/sqlx-seaorm-migration-implementation-plan.md:L292-L308 | plans/sqlx-seaorm-migration-implementation-plan.md:L540-L555 | plans/sqlx-seaorm-migration-implementation-plan.md:L607-L637,cargo fmt --all | cargo test -p platform-core billing | cargo check -p platform-core,POST /api/v1/payments/intents | GET /api/v1/payments/intents/{id} | POST /api/v1/payments/intents/{id}/cancel | POST /api/v1/orders/{id}/lock | POST /api/v1/payments/webhooks/mock_payment,cargo test -p platform-core
BILX-002,BILX,支付与计费路径迁移,AGENT,P0,W2,serial-first,BILX-001; DBX-007,billing 回归结果记录; 必要修复提交,payment_intent payment_webhook_event 和订单支付结果编排在新栈下与基线一致,webhook 联调与 DB 回查通过且乱序回调不会回退订单主状态,支付路径是交易主链路耦合点回归不足会破坏订单状态权威,执行 billing 全量回归,plans/sqlx-seaorm-migration-implementation-plan.md:L544-L555 | docs/01-architecture/order-orchestration.md | docs/全集成文档/数据交易平台-全集成基线-V1.md:L1723,cargo test -p platform-core trade024_illegal_state_regression_db_smoke -- --nocapture | cargo test -p platform-core trade030_payment_result_orchestrator_db_smoke -- --nocapture,发送 payment.succeeded payment.failed payment.timeout 和乱序 payment.failed 到 POST /api/v1/payments/webhooks/mock_payment 并用 psql 回查 payment.payment_intent payment.payment_webhook_event trade.order_main audit.audit_event,cargo test -p platform-core
CATX-001,CATX,Catalog 读写仓储迁移,AGENT,P0,W2,serial-first,DBX-004; DBX-006,apps/platform-core/src/modules/catalog/repo/*; repository.rs 的替代模块,原超大 catalog repository 按 command query shared 拆分；保留当前接口行为,catalog 编译通过且不再依赖单个超大 repository.rs,不先拆分结构后续 ORM 与 SQLx 组合会继续堆积到单文件,重组 catalog 仓储结构,plans/sqlx-seaorm-migration-implementation-plan.md:L240-L272 | plans/sqlx-seaorm-migration-implementation-plan.md:L359-L366 | docs/开发准备/仓库拆分与目录结构建议.md:L173-L180,cargo fmt --all | cargo check -p platform-core,无,cargo test -p platform-core
CATX-002,CATX,Catalog 读写仓储迁移,AGENT,P0,W2,serial-first,CATX-001,apps/platform-core/src/modules/catalog/repo/query/product_read.rs; seller_profile.rs; product_listing.rs; scenario_read.rs,稳定读查询迁移到 SeaORM；复杂聚合保持 SQLx；DTO 完全不变,产品详情卖家详情标准场景与列表读查询行为一致,读模型处理不当会造成接口字段空值语义或过滤逻辑回归,迁移 catalog 稳定查询面到 SeaORM 加 SQLx 组合,plans/sqlx-seaorm-migration-implementation-plan.md:L397-L413 | plans/sqlx-seaorm-migration-implementation-plan.md:L557-L574 | docs/02-openapi/catalog.yaml,cargo test -p platform-core cat020_read_db -- --nocapture | cargo test -p platform-core cat022_search_visibility_db -- --nocapture | cargo test -p platform-core cat023_standard_scenarios_db -- --nocapture,GET /api/v1/products/{id} | GET /api/v1/sellers/{orgId}/profile | GET /api/v1/catalog/standard-scenarios 并用 psql 回查 catalog.product catalog.product_sku contract.template_definition,cargo test -p platform-core
CATX-003,CATX,Catalog 读写仓储迁移,AGENT,P0,W2,serial-first,CATX-001; DBX-005,apps/platform-core/src/modules/catalog/repo/command/product_write.rs; review_write.rs; template_binding_write.rs; apps/platform-core/src/modules/catalog/api/support.rs; apps/platform-core/src/modules/catalog/api/validators/*,产品草稿提交流程模板绑定 SKU 维护 数据契约 审核写路径全部迁移到 SQLx；校验语义保持不变,写路径可继续生成审计与 outbox；现有 catalog 规则继续生效,catalog 写路径涉及模板审核契约约束迁移不完整会影响 trade 门禁,迁移 catalog 写路径与校验逻辑到 SQLx,plans/sqlx-seaorm-migration-implementation-plan.md:L270-L272 | plans/sqlx-seaorm-migration-implementation-plan.md:L630-L637 | docs/业务流程/业务流程图-V1-完整版.md,cargo test -p platform-core cat021_template_policy_db -- --nocapture | cargo test -p platform-core cat024_catalog_listing_review_db -- --nocapture | cargo test -p platform-core template_policy_db -- --nocapture,POST /api/v1/products | POST /api/v1/products/{id}/bind-template | POST /api/v1/products/{id}/submit | POST /api/v1/review/products/{id} | POST /api/v1/skus/{id}/data-contracts 并用 psql 回查 catalog.product catalog.product_sku contract.template_binding audit.audit_event ops.outbox_event,cargo test -p platform-core
CATX-004,CATX,Catalog 读写仓储迁移,AGENT,P0,W2,serial-first,CATX-002; CATX-003; DBX-007,catalog 回归结果记录; 必要修复提交,catalog 已迁移路径在新栈下与当前行为一致且 trade 依赖语义不受影响,catalog 现有测试和真实 API 联调通过,catalog 回归不足会把风险延迟到交易阶段才暴露,执行 catalog 全量回归,plans/sqlx-seaorm-migration-implementation-plan.md:L669-L677 | docs/02-openapi/catalog.yaml | docs/开发准备/接口清单与OpenAPI-Schema冻结表.md,cargo test -p platform-core cat020_read_db -- --nocapture | cargo test -p platform-core cat021_template_policy_db -- --nocapture | cargo test -p platform-core cat022_search_visibility_db -- --nocapture | cargo test -p platform-core cat023_standard_scenarios_db -- --nocapture | cargo test -p platform-core cat024_catalog_listing_review_db -- --nocapture,真实跑一套 建商品草稿 -> 绑定模板 -> 提交审核 -> 审核通过 -> 读取商品详情和卖家详情 流程并用 psql 回查状态模板审计和 outbox,cargo test -p platform-core
IAMX-001,IAMX,IAM 访问层迁移,AGENT,P0,W3,serial-first,DBX-004; DBX-006,apps/platform-core/src/modules/iam/repo/*; apps/platform-core/src/modules/iam/api.rs,组织部门用户应用连接器设备会话 step-up 等读查询迁移；API 层不直接依赖 driver,IAM 模块编译通过且 API 层不再出现 tokio_postgres GenericClient NoTls Row,IAM 路径量大且接口多不做结构拆分会导致后续维护不可控,迁移 iam API 与 repository 到 SeaORM 加 SQLx 组合,plans/sqlx-seaorm-migration-implementation-plan.md:L274-L290 | plans/sqlx-seaorm-migration-implementation-plan.md:L368-L375 | docs/权限设计/后端鉴权中间件规则说明.md,cargo fmt --all | cargo check -p platform-core | rg -n 'tokio_postgres|NoTls|GenericClient|Row' apps/platform-core/src/modules/iam,无,cargo test -p platform-core
IAMX-002,IAMX,IAM 访问层迁移,AGENT,P0,W3,serial-first,IAMX-001; DBX-007,IAM 回归结果记录; apps/platform-core/tests/iam_party_access_integration.rs; 必要修复提交,现有 IAM 接口在新栈下全部可用；party access integration 切换到 SQLx,iam_party_access_integration 和关键 API 联调通过,IAM 是上游基础能力回归不足会影响 catalog 和 trade 权限 scope 校验,执行 IAM 全量回归,plans/sqlx-seaorm-migration-implementation-plan.md:L576-L593 | plans/sqlx-seaorm-migration-implementation-plan.md:L669-L677 | docs/权限设计/接口权限校验清单.md,cargo test -p platform-core --test iam_party_access_integration -- --ignored --nocapture | cargo test -p platform-core iam,GET /api/v1/iam/orgs | POST /api/v1/iam/users | GET /api/v1/auth/me | POST /api/v1/iam/access/check 并用 psql 回查 IAM 相关表和审计,cargo test -p platform-core
DOCX-001,DOCX,文档与运行手册同步,ARCH,P0,W3,serial-first,ORDX-006; BILX-002; CATX-004; IAMX-002,docs/开发准备/技术选型正式版.md; docs/开发准备/仓库拆分与目录结构建议.md; docs/04-runbooks/local-startup.md; docs/README.md,文档口径同步到 SQLx 加 SeaORM；明确 migration 仍走 db/scripts；明确 cargo sqlx prepare --workspace,文档与代码结构一致且无旧驱动口径残留,代码迁了但文档不更新会导致后续开发继续按旧驱动写新代码,同步技术选型目录结构启动手册和 README,plans/sqlx-seaorm-migration-implementation-plan.md:L687-L703 | docs/开发准备/技术选型正式版.md:L22-L49 | docs/开发准备/仓库拆分与目录结构建议.md:L173-L180,rg -n 'tokio-postgres|tokio_postgres' docs apps/platform-core/crates/db | rg -n 'SQLx|SeaORM|cargo sqlx prepare' docs,无,cargo test -p platform-core
CLNX-001,CLNX,清理收口与回合并,AGENT,P0,W4,serial-first,DOCX-001,Cargo.lock; 所有相关模块与测试; 最终验证记录,apps/platform-core 范围内无 tokio-postgres 依赖与引用；全量测试 DB smoke API 联调 migration 验证通过；可回合并,rg 返回空且 v1core_dev 合并前后主线验证完成,收口不彻底会留下双栈并存并显著提高维护成本,删除残余 tokio-postgres 执行最终全量验证并准备回合并,plans/sqlx-seaorm-migration-implementation-plan.md:L583-L593 | plans/sqlx-seaorm-migration-implementation-plan.md:L639-L685 | plans/sqlx-seaorm-migration-implementation-plan.md:L722-L747,cargo fmt --all | cargo test -p platform-core | cargo sqlx prepare --workspace | ./db/scripts/migrate-reset.sh | ./db/scripts/migrate-up.sh | ./db/scripts/migrate-status.sh | ./db/scripts/verify-migration-001.sh | ./db/scripts/verify-migration-010-030.sh | ./db/scripts/verify-migration-040-056.sh | ./db/scripts/verify-migration-057-060.sh | ./db/scripts/verify-migration-061-064.sh | ./db/scripts/verify-migration-065-068.sh | ./db/scripts/verify-migration-070.sh | rg -n 'tokio_postgres|tokio-postgres' apps/platform-core,启动完整服务后复跑 order billing catalog iam 代表性 API 联调并用 psql 回查主表与审计；随后执行 git checkout v1core_dev && git merge --no-ff sqlx-seaorm-migration,全量 cargo test -p platform-core；模块级 DB smoke；iam_party_access_integration；合并前后各跑一轮主验证
